Column1,행정구,행정동,인구수,사업체수,종사자수,집 개수,소득,10대 비율,20대 비율,3040 비율,65세 이상 비율,행정동명,버스정류장 개수,지하철역 개수,자동차 등록대수,도로 평균 속도
141,강서구,방화1동,42512,3658,11304,13673,3407916,0.101383139,0.108628152,0.312617614,0.171528039,방화1동,43,2,14972,15.68
142,강서구,방화2동,23036,3860,16238,7532,2708397,0.055608613,0.13669908,0.301267581,0.224778607,방화2동,36,7,9349,30.97
143,강서구,방화3동,22199,1287,4689,9698,3044446,0.062300104,0.090904996,0.302355962,0.258480112,방화3동,21,1,7336,22.96
144,강북구,번1동,18417,2486,10192,4529,2303972,0.049790954,0.179508063,0.285877179,0.208665906,번1동,23,1,4781,14.19
145,강북구,번2동,15055,912,3732,6723,2308539,0.057256725,0.126735304,0.237794753,0.279375623,번2동,42,0,3621,18.59
146,강북구,번3동,16505,1126,3302,7257,2548326,0.067615874,0.10645259,0.230475613,0.29960618,번3동,35,0,4478,17.68
147,용산구,보광동,13585,1155,2365,3588,2545653,0.048951049,0.14228929,0.318733898,0.198895841,보광동,13,0,3072,17.84
148,관악구,보라매동,24392,2025,6990,6221,2529995,0.05444408,0.190636274,0.301205313,0.198261725,보라매동,25,1,6187,14.73
149,성북구,보문동,16680,1787,6720,4580,3162623,0.061151079,0.173081535,0.315227818,0.15881295,보문동,9,2,4588,17.36
150,종로구,부암동,9443,894,3762,3070,3647449,0.090119665,0.133643969,0.286561474,0.196441809,부암동,34,0,3140,19.05
151,서대문구,북가좌1동,17709,1490,3745,6089,4005416,0.107346547,0.107741826,0.291433734,0.18069908,북가좌1동,12,0,7375,16.62
152,서대문구,북가좌2동,31111,2743,6468,10603,2590646,0.070168108,0.143357655,0.277040275,0.216515059,북가좌2동,36,0,8515,14.67
153,서대문구,북아현동,15796,1154,2656,5298,4172659,0.063307166,0.128386933,0.342618384,0.151557356,북아현동,16,0,4479,17.98
154,은평구,불광1동,37826,2408,7000,13601,3182963,0.063421985,0.126394543,0.283085708,0.216834981,불광1동,38,1,10463,14.1
155,은평구,불광2동,27073,1924,4933,8970,2396457,0.054630074,0.143242345,0.270453958,0.234587966,불광2동,26,1,6484,15.83
156,성동구,사근동,14048,1310,10537,3183,3099614,0.065845672,0.460421412,0.20785877,0.110051253,사근동,40,2,2250,21.67
157,동작구,사당1동,22954,2463,10779,5780,2855173,0.03563649,0.227106387,0.339200139,0.173259563,사당1동,12,3,5473,13.1
158,동작구,사당2동,28517,2159,6817,8341,3884988,0.062629309,0.123820879,0.304555178,0.209699478,사당2동,30,3,8292,20.06
159,동작구,사당3동,24038,1470,4960,7759,3890035,0.066810883,0.128920875,0.306057076,0.200599052,사당3동,27,0,7093,15.58
160,동작구,사당4동,14073,963,2159,4080,2844168,0.047893129,0.17238684,0.311660627,0.204647197,사당4동,4,1,3513,14.96
161,동작구,사당5동,14293,910,2034,3515,3047661,0.06415728,0.143146995,0.332540404,0.17547051,사당5동,24,0,4203,19.7
162,종로구,사직동,9326,5035,56013,2778,5007768,0.071734935,0.116448638,0.319429552,0.199549646,사직동,31,2,8170,19.12
163,강북구,삼각산동,30817,1405,2949,11376,3734477,0.124379401,0.106175163,0.292922737,0.158224357,삼각산동,22,0,9378,16.59
164,성북구,삼선동,22875,2507,11157,6987,3057377,0.07589071,0.200655738,0.273748634,0.180415301,삼선동,38,3,5773,14.82
165,강남구,삼성1동,12584,7353,73562,4595,5098096,0.092657343,0.128973299,0.304593134,0.180705658,삼성1동,30,2,8432,19.42
166,강남구,삼성2동,30776,6267,48407,10178,5055114,0.115382116,0.1236353,0.35654406,0.129841435,삼성2동,21,2,12402,15.56
167,관악구,삼성동,20265,1368,3064,7833,2593695,0.056698742,0.110387367,0.238341969,0.277473476,삼성동,30,0,5884,17.55
168,강북구,삼양동,22751,1562,4104,7808,2473211,0.072084744,0.126499934,0.256516197,0.226319722,삼양동,29,3,5922,16.08
169,송파구,삼전동,29574,2884,12315,11497,2779980,0.060999527,0.16602421,0.377358491,0.14651383,삼전동,14,0,8827,15.53
170,종로구,삼청동,2495,956,4978,730,3442534,0.080160321,0.102204409,0.289378758,0.250501002,삼청동,17,0,777,18.28
171,노원구,상계10동,18274,818,2515,6422,3132098,0.082029112,0.126299661,0.311261902,0.16394878,상계10동,24,0,5362,19.91
172,노원구,상계1동,37267,3934,11608,13410,3030316,0.079587839,0.124131269,0.259800896,0.210400623,상계1동,29,1,13791,22.81
173,노원구,상계2동,19405,3325,11074,6042,3122902,0.083122906,0.15542386,0.244988405,0.189538779,상계2동,26,1,6041,14.85
174,노원구,상계3.4동,27469,1849,4821,9292,2644186,0.075867341,0.112708872,0.249663257,0.237904547,상계3·4동,18,0,8062,21.83
175,노원구,상계5동,23222,2755,6516,7347,2481440,0.075015072,0.127852898,0.244681767,0.231633796,상계5동,29,1,5909,15.72
176,노원구,상계6.7동,31717,2685,18222,13648,3152836,0.085253965,0.129047514,0.304158653,0.170949333,상계6·7동,30,0,8976,19.79
177,노원구,상계8동,21919,824,1943,9090,3153561,0.080204389,0.110178384,0.381039281,0.144304028,상계8동,13,1,6503,34.52
178,노원구,상계9동,19800,1036,2848,8260,2955988,0.088282828,0.122323232,0.288181818,0.194141414,상계9동,19,0,5793,18.28
179,동작구,상도1동,46534,2616,9396,14737,3875896,0.073516139,0.252696953,0.258757038,0.16413805,상도1동,44,2,12452,15.12
180,동작구,상도2동,27875,1855,5790,9039,3826699,0.073399103,0.149130045,0.323587444,0.161147982,상도2동,36,1,8192,15.69
181,동작구,상도3동,24374,1613,3766,7246,2575897,0.058751128,0.173422499,0.297981456,0.196602938,상도3동,33,0,5688,7.4
182,동작구,상도4동,28194,1614,3516,8275,2563258,0.063027595,0.154004398,0.305774278,0.195821806,상도4동,33,0,6879,14.9
183,중랑구,상봉1동,23455,1952,6705,7937,2969913,0.075506289,0.12862929,0.288552547,0.180089533,상봉1동,13,2,8059,18.43
184,중랑구,상봉2동,20673,3344,9431,6146,2575432,0.032602912,0.204276109,0.354713878,0.153581967,상봉2동,18,1,5353,19.84
185,마포구,상암동,30487,4109,51381,9956,4158486,0.126742546,0.140781317,0.296618231,0.144520615,상암동,96,2,11290,21.58
186,강동구,상일동,51284,2154,21013,10472,3690212,0.119735106,0.088577083,0.336344261,0.129757434,상일동,58,0,11210,17.24
187,마포구,서강동,25371,2846,10812,8454,4339738,0.114386792,0.132496631,0.292958221,0.164504717,서강동,63,2,7664,17.14
188,마포구,서교동,26369,13024,61160,9189,3212258,0.0687399,0.206574435,0.315833038,0.134366008,서교동,79,5,8441,15.28
189,관악구,서림동,24598,1644,3444,5152,2530625,0.0434222,0.28393189,0.351094088,0.128067048,서림동,23,1,5487,17.53
190,용산구,서빙고동,13357,777,6126,4268,4208562,0.043946662,0.258232377,0.331937556,0.154646719,서빙고동,24,1,4710,20.91
191,관악구,서원동,23770,1911,8436,5454,2412001,0.111252527,0.122782062,0.297447032,0.163135435,서원동,21,2,5087,13.28
192,서초구,서초1동,20526,5686,42507,6735,4769119,0.033066891,0.289903239,0.331762726,0.145687842,서초1동,35,1,17110,16.56
193,서초구,서초2동,26451,8772,71566,6901,5196131,0.092565527,0.136120043,0.340397545,0.157312677,서초2동,45,2,10137,15.51
194,서초구,서초3동,32381,12046,84922,10040,4678950,0.091376508,0.140750822,0.376091641,0.128539564,서초3동,74,3,15218,15.65
195,서초구,서초4동,30554,4302,31706,9224,6475383,0.08471017,0.164540934,0.320064235,0.158765943,서초4동,42,0,11805,16.23
196,성북구,석관동,34940,3072,8770,10472,2864182,0.13602147,0.113176671,0.298127905,0.145545591,석관동,29,2,9752,20.18
197,송파구,석촌동,31530,4113,17243,12091,2927911,0.059616485,0.145220378,0.274212936,0.219834001,석촌동,19,3,9893,17.97
198,강동구,성내1동,19658,3082,17417,6767,3438376,0.052457977,0.164161116,0.371297177,0.154995243,성내1동,21,1,8309,15.47
199,강동구,성내2동,23620,2617,7288,6199,2824592,0.082714417,0.128293824,0.321599349,0.168633635,성내2동,18,2,6408,19.32
200,강동구,성내3동,22798,3220,9494,6685,2897346,0.045215919,0.160668925,0.316850127,0.198687553,성내3동,15,0,6976,15.27
201,성북구,성북동,16606,1790,6288,5605,3470748,0.066891833,0.148346346,0.298929731,0.187165541,성북동,46,0,4781,19.49
202,마포구,성산1동,18971,2506,11135,6662,2814646,0.067385282,0.162290738,0.300192701,0.188184993,성산1동,26,0,6287,18.14
203,마포구,성산2동,39141,3376,13659,13092,3521472,0.068683781,0.165463075,0.338042275,0.165410363,성산2동,40,2,11442,19.37
204,성동구,성수1가1동,15812,2982,14473,4897,3870717,0.076467132,0.172504535,0.319971386,0.167471449,성수1가1동,32,1,10397,25.6
205,성동구,성수1가2동,12221,4784,26199,3689,3263294,0.058879332,0.145395902,0.317670124,0.154060207,성수1가2동,12,1,6759,20.7
206,성동구,성수2가1동,15131,3557,20402,4288,2900762,0.063169953,0.14900581,0.34121594,0.167171263,성수2가1동,30,0,7981,21.99
207,성동구,성수2가3동,10365,8853,63385,2944,3358391,0.049434935,0.131055449,0.296146983,0.198731082,성수2가3동,21,1,6981,14.56
208,관악구,성현동,28582,1328,3238,10578,3455108,0.047949831,0.171152918,0.314230584,0.1815726,성현동,29,0,8323,15.65
209,강남구,세곡동,45828,2466,9881,12596,3885403,0.092610734,0.129522077,0.279056749,0.199076342,세곡동,66,0,19244,19.16
210,중구,소공동,3512,5107,64308,685,5380521,0.110958366,0.118137383,0.331631317,0.15767653,소공동,36,3,4174,15.41
211,성동구,송정동,10221,1005,2879,2331,2566462,0.084851936,0.095387244,0.444476082,0.095387244,송정동,13,0,2781,23.13
212,강북구,송중동,29486,3022,8752,8803,2555447,0.050386459,0.157714509,0.295372273,0.186772331,송중동,57,0,6999,15.6
213,강북구,송천동,25397,2658,7730,7165,2444557,0.064640847,0.139625585,0.27670759,0.215424269,송천동,18,1,5809,15.71
214,송파구,송파1동,23805,3406,16572,9335,3129216,0.054179628,0.125684136,0.247037052,0.254124503,송파1동,14,0,7725,15.8
215,송파구,송파2동,18733,1257,3951,6583,4370970,0.048687251,0.175215291,0.37231674,0.154589372,송파2동,12,0,6712,16.94
216,구로구,수궁동,23141,1801,6447,8840,2682295,0.094058613,0.126781615,0.30283457,0.16788555,수궁동,41,2,8144,16.81
217,은평구,수색동,19225,791,2760,3114,3253972,0.077956873,0.116027829,0.282917765,0.213257854,수색동,18,3,4695,15.15
218,강남구,수서동,14217,2229,18865,7246,3847379,0.070741222,0.124057217,0.318439532,0.154486346,수서동,18,2,5209,21.86
219,강북구,수유1동,20344,2031,5815,6781,2220463,0.035520855,0.081662798,0.248716326,0.358444116,수유1동,39,1,5595,16.1
220,강북구,수유2동,20836,1828,4637,7243,2577008,0.061639796,0.147463626,0.265237908,0.229600865,수유2동,13,1,5368,15.06
221,강북구,수유3동,23920,3235,9873,5962,2205999,0.059992321,0.129487426,0.249136111,0.251823767,수유3동,24,0,4999,15.83
222,종로구,숭인1동,6102,736,1897,1588,2868519,0.046948161,0.200752508,0.268938127,0.207859532,숭인1동,12,1,1477,16.75
223,종로구,숭인2동,10540,2267,6053,3358,2607311,0.057194363,0.134709931,0.283677483,0.208947886,숭인2동,8,0,2185,13.73
224,금천구,시흥1동,33883,4103,15341,10181,2757307,0.032068311,0.272390892,0.282163188,0.166603416,시흥1동,42,1,11891,16.11
225,금천구,시흥2동,20705,1090,2778,7981,3181421,0.06088599,0.132987044,0.289466694,0.199421539,시흥2동,20,0,7155,18.27
226,금천구,시흥3동,10457,3839,9592,4077,2516251,0.096595025,0.102680512,0.25805361,0.215889882,시흥3동,16,0,4388,30.17
227,금천구,시흥4동,20253,1171,2350,5976,2405620,0.059481687,0.115042555,0.257148322,0.241656307,시흥4동,25,0,6283,16.38
228,금천구,시흥5동,18824,1517,3732,5507,2375052,0.065224905,0.118698464,0.254875821,0.226830593,시흥5동,35,0,5395,16.13
229,영등포구,신길1동,20641,1492,4556,4280,2780044,0.064226519,0.113578411,0.248565661,0.247768806,신길1동,21,1,4941,18.56
230,영등포구,신길3동,17083,1274,2701,4739,3085442,0.044523037,0.181241219,0.313696042,0.181483455,신길3동,25,0,4931,14.43
231,영등포구,신길4동,12980,620,1455,3725,2717791,0.063220746,0.117660832,0.29391793,0.199145349,신길4동,13,0,3731,15.32
232,영등포구,신길5동,11021,721,2192,2301,2656511,0.06587057,0.111479199,0.299383667,0.197688752,신길5동,21,0,3400,15.72
233,영등포구,신길6동,18507,1659,5235,5043,2954616,0.070229562,0.101351964,0.288993739,0.202340985,신길6동,23,2,5281,15.49
234,영등포구,신길7동,20044,996,3511,6690,3616070,0.060679743,0.154374021,0.300805101,0.187334522,신길7동,32,3,6702,15.95
235,중랑구,신내1동,38247,3257,15420,12959,2780491,0.089702654,0.122979445,0.337357813,0.139592896,신내1동,53,1,12815,25.44
236,중랑구,신내2동,19906,1556,7186,8440,3060535,0.100818365,0.11386514,0.271786022,0.197819437,신내2동,19,0,6891,16.87
237,중구,신당5동,10472,1552,4149,3376,3027979,0.075002512,0.109916608,0.279764895,0.224907063,신당5동,8,1,2990,13.23
238,중구,신당동,8921,12136,23988,2526,2816850,0.049274255,0.15565317,0.312834225,0.184778457,신당동,8,2,3376,13.86
239,동작구,신대방1동,25123,1453,3806,6538,3845094,0.031947091,0.222844973,0.302880843,0.172178007,신대방1동,14,0,7495,15.55
240,동작구,신대방2동,22383,1810,18775,5520,3340157,0.091629184,0.13919516,0.291087848,0.17036182,신대방2동,28,2,6373,16.54
241,구로구,신도림동,36089,3711,15112,11124,4380318,0.080418175,0.166108207,0.327123263,0.15820042,신도림동,41,3,12771,19.63
242,관악구,신림동,24037,2385,6024,4242,2434279,0.098173959,0.116572917,0.344647954,0.144143645,신림동,17,1,4578,14.5
243,은평구,신사1동,26761,1986,5162,9417,2637581,0.020010817,0.395515247,0.374131547,0.085576403,신사1동,24,1,8015,17.19
244,은평구,신사2동,19153,2060,4261,6580,2635300,0.06812152,0.136093569,0.29195471,0.204289825,신사2동,31,1,6210,15.02
245,관악구,신사동,24630,6143,28917,4211,5099915,0.072834543,0.13078891,0.282723333,0.21171618,신사동1,18,1,5117,14.59
246,강남구,신사동,15680,2088,4914,4948,2430662,0.040722696,0.256110434,0.304141291,0.153796184,신사동2,14,1,7748,18.69
247,마포구,신수동,22555,2337,7126,7508,4157605,0.079627577,0.154688539,0.313145644,0.154289515,신수동,24,0,7447,16.31
248,관악구,신원동,18547,1172,2777,3858,2403237,0.040599558,0.243058177,0.306518574,0.183749393,신원동,10,0,3312,15.78
249,양천구,신월1동,19852,2238,5875,6314,2227154,0.058331654,0.119181946,0.269796494,0.230203506,신월1동,9,0,8200,16.06
250,양천구,신월2동,21068,1622,4847,7374,2727225,0.084535789,0.117571673,0.290772736,0.205382571,신월2동,9,0,6770,15.65
251,양천구,신월3동,14603,1462,5259,4371,2152244,0.064575772,0.120934055,0.267205369,0.221598302,신월3동,11,0,5656,13.32
252,양천구,신월4동,17590,1605,3977,6145,2639083,0.088175099,0.111938601,0.282546902,0.208300171,신월4동,10,0,6426,18.1
253,양천구,신월5동,14233,1316,4437,4715,2615553,0.081500738,0.130892995,0.288343989,0.190824141,신월5동,13,0,4634,15.2
254,양천구,신월6동,13963,2061,3735,5099,2857257,0.091527609,0.103201318,0.33166225,0.152116307,신월6동,12,0,6987,15.28
255,양천구,신월7동,18812,1777,5684,8547,2343943,0.057569636,0.114926643,0.26786094,0.245162662,신월7동,19,0,6258,19.85
256,양천구,신정1동,19819,1582,6150,6041,5046256,0.146273778,0.105555275,0.284474494,0.148998436,신정1동,28,0,8242,15.89
257,양천구,신정2동,18971,1560,4330,6119,4725315,0.155974909,0.114174266,0.270201887,0.151178114,신정2동,14,0,6277,15.01
258,양천구,신정3동,50151,3433,10739,15440,3158844,0.107654882,0.121213934,0.280433092,0.168471217,신정3동,60,1,16268,15.81
259,양천구,신정4동,32653,4593,17802,10151,2609700,0.063271369,0.15732092,0.299421186,0.195357241,신정4동,18,1,9028,15.07
260,양천구,신정6동,23933,1044,6577,7214,5384412,0.14849789,0.110600426,0.289600134,0.132118832,신정6동,19,0,8833,15.39
261,양천구,신정7동,28492,1555,5264,10861,4094404,0.114874351,0.105643689,0.268742103,0.194335252,신정7동,27,1,9145,17.23
262,서대문구,신촌동,26777,5275,34964,5570,3331768,0.046532472,0.507076969,0.241401203,0.081151735,신촌동,47,2,3881,17.52
263,도봉구,쌍문1동,21098,1457,4787,7530,2440535,0.070101431,0.140724239,0.250687269,0.232818277,쌍문1동,44,0,6407,17.42
264,도봉구,쌍문2동,18139,1680,5781,6473,2430154,0.063950604,0.122222835,0.270136171,0.230993991,쌍문2동,15,0,4939,14.28
265,도봉구,쌍문3동,16707,1307,4323,5022,2438072,0.056263842,0.150655414,0.279643263,0.216196804,쌍문3동,15,0,3916,16.02
266,도봉구,쌍문4동,18211,907,2236,6835,2968285,0.099555214,0.122892757,0.266322552,0.188786997,쌍문4동,17,0,5445,17.2
267,마포구,아현동,29038,2417,13499,9091,5237419,0.070493836,0.115710448,0.374991391,0.126696053,아현동,17,2,8421,18.27
268,성북구,안암동,17439,1927,14353,4022,2896471,0.055278399,0.42123975,0.216239463,0.124491083,안암동,31,1,3092,16.5
269,강동구,암사1동,34189,2733,6272,10089,2852157,0.069466788,0.128316125,0.29804908,0.192167071,암사1동,13,0,10427,15.6
270,강동구,암사2동,14963,1200,3806,5214,3688535,0.066965181,0.118358618,0.336764018,0.174964913,암사2동,6,1,5015,29.76
271,강동구,암사3동,17380,1132,2626,5583,4470889,0.110874568,0.103164557,0.304372842,0.167376295,암사3동,11,0,6304,21.89
272,강남구,압구정동,25752,5978,36485,8856,5808537,0.104613234,0.109273066,0.276871699,0.208799317,압구정동,23,2,12258,17.91
273,중구,약수동,16433,1210,4519,6584,3894878,0.055619789,0.110996166,0.281871843,0.251323556,약수동,12,2,4730,16.01
274,서초구,양재1동,42482,5646,47376,14561,4173236,0.104444235,0.113177346,0.312908997,0.178146038,양재1동,73,1,20923,21.37
275,서초구,양재2동,21604,7927,51408,6842,3222382,0.067209776,0.15154601,0.356091465,0.148074431,양재2동,50,1,12982,22.53
276,영등포구,양평1동,18477,4862,25006,4229,3508250,0.054391947,0.166098393,0.414028251,0.133842074,양평1동,22,1,9745,16.84
277,영등포구,양평2동,22725,3692,23744,7115,3672088,0.062134213,0.166292629,0.390231023,0.123168317,양평2동,31,1,11895,25.8
278,영등포구,여의동,33297,15940,192014,10202,5590853,0.089617683,0.108298045,0.30552302,0.196804517,여의동,63,6,20629,18.01
279,강남구,역삼1동,35509,22326,176153,11995,3607265,0.039849052,0.207412205,0.455856262,0.106564533,역삼1동,47,7,21032,12.65
280,강남구,역삼2동,37126,6033,45149,11862,5367397,0.157356031,0.122636427,0.356138555,0.106098152,역삼2동,26,0,15266,14.28
281,은평구,역촌동,44429,3716,9380,14882,2521877,0.070134372,0.135001913,0.291116163,0.204573589,역촌동,50,0,12134,17.36
282,마포구,연남동,15229,3103,8438,5648,2980162,0.047869197,0.21531289,0.351369098,0.161862237,연남동,21,0,4080,15.02
283,서대문구,연희동,37274,3420,13243,11675,3383749,0.061463755,0.238986961,0.287814562,0.169796641,연희동,57,0,9990,18.81
284,마포구,염리동,17693,1106,5256,3186,4051438,0.096478833,0.162324083,0.346408184,0.121121347,염리동,9,0,5236,17.14
285,강서구,염창동,41471,3097,16227,13248,4127504,0.105181934,0.130549058,0.354247546,0.116442815,염창동,36,0,15499,20.45
286,영등포구,영등포동,31338,14943,41886,7586,3570107,0.027027889,0.26479035,0.397121705,0.11302572,영등포동,49,2,10571,16.81
287,영등포구,영등포본동,22651,1924,6381,6404,3286751,0.051918238,0.129265816,0.291731049,0.200874134,영등포본동,20,1,6261,16.46
288,송파구,오금동,37799,3613,19900,12963,3510674,0.07886452,0.12584989,0.281621207,0.189528824,오금동,38,1,13805,15.41
289,구로구,오류1동,23432,1733,5168,6927,2574851,0.04784056,0.180821099,0.335225333,0.185344828,오류1동,14,1,6882,20.39
290,구로구,오류2동,38189,2420,8474,13985,2781178,0.104925502,0.111655189,0.285448689,0.202702349,오류2동,58,1,14046,16.12
291,송파구,오륜동,17870,728,4992,5543,6095160,0.14224958,0.108282037,0.261947398,0.179462787,오륜동,24,3,6680,13.44
292,성동구,옥수동,25698,1506,4717,9899,4836487,0.063779282,0.097089268,0.354307728,0.171258464,옥수동,40,2,8857,17.4
293,성동구,왕십리2동,16508,1232,2948,5060,3474994,0.065059365,0.143385025,0.31863339,0.165556094,왕십리2동,14,1,4485,17.01
